Age,AgeGroup,Gender,MaritalStatus,SmokerStatus,LifeStyle,LanguageSpoken,HighestEducation,Race,Nationality,MalaysiaPR,MovingToNewCompany,Occupation,Telco,HomeAddress,ResidentialType,NoOfDependent,FamilyExpenses(month),AnnualSalary,Saving(month),Customer_Needs_1,Customer_Needs_2,PurchasedPlan1,Transport,PurchasedPlan2,MedicalComplication
35,27-35,female,single,unknown,home,english,Bachelor,malay,unknown,yes,yes,employer,maxis,north_mal,terrace,2,10242.0,100793.0,-1842.583333333334,PersonalSaving,KidMedical,SchoolAgain,driving,NoMoneyDown,no
25,18-26,male,unknown,unknown,outdoor,malay,Diploma,chinese,Malaysian,no,yes,selfEmployed,umobile,east_mal,terrace,2,6821.0,73926.0,-660.5,PersonalRetirement,KidMedical,SchoolAgain,driving,XEdu,yes
27,27-35,male,unknown,frequent,pub_goer,english,Bachelor,others,unknown,no,no,privateEemployee,celcom,central_mal,condominium,2,4316.0,140734.0,7411.833333333334,PersonalMedical,KidMedical,SchoolAgain,driving,KidsFlyUp,yes
33,27-35,female,unknown,once_in_a_while,pub_goer,english,Bachelor,malay,Malaysian,yes,no,privateEemployee,maxis,south_mal,terrace,2,4845.0,93913.0,2981.083333333333,PersonalSaving,KidSaving,SchoolAgain,driving,NoMoneyDown,no
28,27-35,female,unknown,once_in_a_while,home,english,Bachelor,chinese,Malaysian,yes,yes,privateEemployee,umobile,east_mal,condominium,2,9883.0,98833.0,-1646.916666666666,PersonalRetirement,KidEducation,COVIDFree,driving,KidsFlyUp,yes
44,36-44,male,single,once_in_a_while,home,english,Bachelor,unknown,Malaysian,yes,no,privateEemployee,umobile,central_mal,terrace,3,6174.0,166134.0,7670.5,PersonalRetirement,KidMedical,HomeSafe,driving,KidsFlyUp,yes
35,27-35,male,unknown,once_in_a_while,pub_goer,english,Bachelor,indian,others,yes,yes,unknown,celcom,central_mal,terrace,2,7735.0,117852.0,2086.0,PersonalSaving,KidMedical,HomeSafe,driving,NoMoneyDown,yes
32,27-35,male,married,frequent,home,english,Bachelor,indian,Malaysian,no,yes,privateEemployee,digi,north_mal,condominium,2,2679.0,166567.0,11201.583333333334,PersonalMedical,KidMedical,SchoolAgain,driving,XEdu,yes
33,27-35,male,married,frequent,outdoor,mandarin,Bachelor,unknown,Malaysian,yes,no,privateEemployee,maxis,central_mal,flat,2,4930.0,51144.0,-668.0,PersonalSaving,KidMedical,COVIDFree,publicTransport,NoMoneyDown,no
32,27-35,male,unknown,once_in_a_while,home,malay,Bachelor,indian,Malaysian,yes,no,govServant,celcom,south_mal,condominium,2,5301.0,127075.0,5288.583333333334,PersonalRetirement,KidEducation,SchoolAgain,driving,KidsFlyUp,yes
18,18-26,female,unknown,sometimes,home,malay,Master,unknown,unknown,yes,no,govServant,maxis,south_mal,terrace,2,6110.0,111876.0,3213.0,PersonalSaving,KidEducation,SchoolAgain,publicTransport,NoMoneyDown,yes
31,27-35,female,unknown,unknown,outdoor,mandarin,Bachelor,others,Malaysian,no,no,govServant,umobile,central_mal,flat,3,3835.0,149678.0,8638.166666666666,PersonalMedical,KidMedical,HomeSafe,driving,KidsFlyUp,yes
32,27-35,female,married,once_in_a_while,pub_goer,malay,Bachelor,malay,unknown,no,no,unknown,umobile,central_mal,flat,2,7694.0,170077.0,6479.083333333334,PersonalMedical,KidEducation,SchoolAgain,driving,XEdu,yes
40,36-44,male,married,frequent,home,english,Bachelor,malay,unknown,yes,yes,employer,maxis,central_mal,terrace,3,2749.0,94248.0,5105.0,PersonalMedical,KidMedical,SchoolAgain,driving,KidsFlyUp,no
32,27-35,female,married,frequent,home,english,Diploma,unknown,unknown,yes,yes,govServant,celcom,south_mal,terrace,3,3028.0,117663.0,6777.25,PersonalRetirement,KidSaving,SchoolAgain,publicTransport,XEdu,no
19,18-26,female,married,frequent,pub_goer,malay,Bachelor,unknown,unknown,yes,no,unknown,celcom,central_mal,flat,2,6821.0,59999.0,-1821.083333333333,PersonalRetirement,KidEducation,SchoolAgain,publicTransport,KidsFlyUp,yes
28,27-35,female,single,frequent,pub_goer,malay,Diploma,chinese,unknown,yes,no,privateEemployee,umobile,unknown,terrace,2,5954.0,130825.0,4948.083333333334,PersonalMedical,KidMedical,HomeSafe,driving,KidsFlyUp,yes
31,27-35,female,single,once_in_a_while,home,malay,Diploma,unknown,Malaysian,yes,yes,privateEemployee,digi,north_mal,flat,3,5302.0,95137.0,2626.083333333333,PersonalMedical,KidEducation,SchoolAgain,driving,XEdu,no
